accession,raw_reads,dup_percent,unique_reads
B020,65209957,11.4458641304012,57746113.922287
B024,70047174,11.0128526614079,62332981.9339
B039,106393763,14.0527158128447,91442549.8430185
B047,57306642,10.5301693649104,51272155.5400571
B049,76252801,10.9842857333354,67876975.4584884
B072,41093944,9.2809713016043,37280026.8506627
B124,73516968,11.5658331585183,65014118.1379187
B141,48465821,13.3697125912942,41986080.0272889
B152,72441131,16.3891312880957,60568658.9338286
B155,49675538,12.8668650206478,43283853.5772594
B158,77795858,13.1507345201516,67565131.2467459
B164,83653189,10.8755137687948,74555474.9122691
B169,40912235,12.1833641717337,35927748.4191545
B173,62143586,10.3491336763277,55712263.2135963
CX104,78294638,10.2934477550692,70235420.3424494
CX11,101083696,12.0464063313268,88906743.2451169
CX110,98167659,11.7452652065101,86637607.1034275
CX112,108385730,13.0421901443954,94249857.004009
CX117,92727297,10.7361282631514,82771975.4591267
CX220,109589631,14.4238677655461,93782567.5398101
CX280,71990542,12.5293778179953,62970574.9995974
CX284,78343177,14.4164188120711,67048896.4929978
CX307,98026384,13.1340321872937,85151567.1733999
CX329,73084668,12.474969981802,63967377.6057004
CX364,105684334,13.0649635240079,91876714.3123093
CX366,82610742,12.5279490324919,72261310.3468766
CX367,92459404,13.2661520217716,80193598.906936
CX368,62082926,11.1354918914193,55169686.8093142
CX372,45286031,11.0405103826098,40286222.0455731
CX379,45238480,10.3667904578076,40548701.5721028
CX392,86932726,11.9931594749122,76506745.5349315
CX4,91988575,10.8965184709621,81965022.9339502
CX46,38456701,8.90125114701104,35033573.4611349
CX49,41175222,9.95450483896403,37076432.5335558
CX55,48207790,12.115713722248,42367072.1717775
CX578,112754853,13.3484770581503,97703797.3153439
CX90,80973907,10.6667583913405,72336615.9802812
IRIS_313-10067,47696713,9.10677009508066,43353083.0041796
IRIS_313-10096,48384572,9.80310857478349,43641379.8733957
IRIS_313-10113,53490958,8.69089988844532,48842112.3908497
IRIS_313-10191,42670305,8.1353591944318,39198922.4188904
IRIS_313-10430,55821070,11.2985638762573,49514090.7496397
IRIS_313-10444,53199988,10.244319092461,47750011.472129
IRIS_313-10484,66751314,10.9757358234538,59424866.1166759
IRIS_313-10509,75514368,12.1280440652141,66355952.1733921
IRIS_313-10522,45269984,9.97751592488488,40753164.1372072
IRIS_313-10527,47640919,8.96113684545743,43371751.0539765
IRIS_313-10549,58425517,12.2519532700145,51267249.9593956
IRIS_313-10558,43906724,10.9870409498568,39082674.2543794
IRIS_313-10585,59718691,12.6519106869231,52163135.5512804
IRIS_313-10587,55908581,10.672215877034,49941896.5418936
IRIS_313-10595,49945030,13.5433892776634,43180780.1622542
IRIS_313-10598,63912087,11.9646981936631,56265198.6811786
IRIS_313-10603,126286434,16.0193291918958,106056194.412834
IRIS_313-10604,56912785,12.4941501394676,49802016.1935476
IRIS_313-10620,63046451,9.35006971097319,57151563.8812054
IRIS_313-10662,44422089,11.9238071154252,39125284.7909975
IRIS_313-10673,43436321,9.0404166235498,39509496.6156575
IRIS_313-10695,49295101,9.40849115680328,44657175.7816778
IRIS_313-10703,69583095,11.8654676105622,61326735.4003483
IRIS_313-10733,69106577,9.68984572934301,62410256.2998704
IRIS_313-10738,57205514,12.5504745999848,50025950.4956392
IRIS_313-10746,44150366,9.62661994729092,39900178.0598421
IRIS_313-10771,70311298,10.0350886626523,63255496.9058383
IRIS_313-10795,64505207,12.0347894596278,56742141.1470529
IRIS_313-10812,65009775,9.55072758875963,58800868.4836844
IRIS_313-10817,68062922,11.7999922876007,60031502.4532843
IRIS_313-10830,47174143,9.86883392499441,42518605.1717906
IRIS_313-10831,66950872,9.03809711815546,60899787.167188
IRIS_313-10850,140994783,14.7690155217539,120171241.613867
IRIS_313-10868,45165341,10.4297634994753,40454702.7499684
IRIS_313-10877,36813036,7.42510948205313,34079627.7733324
IRIS_313-10896,42057210,8.55408969299353,38459598.5342294
IRIS_313-10925,50825971,9.13042956973396,46185341.5147116
IRIS_313-10926,49528685,11.785477861791,43691492.7940888
IRIS_313-10927,85576193,10.4681262301264,76617969.0938234
IRIS_313-10933,56979815,10.239530910173,51145349.2305156
IRIS_313-10948,77158058,9.67541397975538,69692696.4697602
IRIS_313-10950,51259523,9.3219336446568,46481144.2793724
IRIS_313-10958,54114352,11.2007382450436,48053145.0794785
IRIS_313-10964,26430439,8.61701918693841,24152923.0001779
IRIS_313-10969,54752828,8.91285754037426,49872786.4410339
IRIS_313-10987,59649297,8.4534457152556,54606876.0585734
IRIS_313-11021,64557167,9.51433262016836,58414983.4014624
IRIS_313-11022,51055730,11.0620271622769,45407931.2795012
IRIS_313-11023,52212709,9.94879836515277,47018171.860606
IRIS_313-11028,49880810,8.87262924803954,45455070.662781
IRIS_313-11037,104214816,12.3860287812923,91306738.8958692
IRIS_313-11052,136196551,15.9065738518158,114532346.031559
IRIS_313-11055,92412720,10.6794666355377,82543534.4006071
IRIS_313-11062,94705882,11.5826992867062,83736384.4811172
IRIS_313-11066,107801816,15.8825250642579,90680165.5540748
IRIS_313-11068,52278032,9.69602833800863,47209139.2027268
IRIS_313-11069,52227833,9.36624296354165,47336047.2666272
IRIS_313-11070,35798811,7.26181822429903,33199166.4187196
IRIS_313-11075,54129253,11.5228457101084,47892022.6927758
IRIS_313-11076,68864096,9.10245052270324,62595775.7336931
IRIS_313-11093,40503273,9.74208247588578,36557410.7389068
IRIS_313-11112,121912041,12.5135584995601,106656506.431457
IRIS_313-11125,32983761,7.34997956581547,30559461.3064626
IRIS_313-11136,42771016,9.67143248072938,38634446.066238
IRIS_313-11141,48904839,9.28593008317387,44363569.8431713
IRIS_313-11164,40531758,8.27475487830462,37177854.3776324
IRIS_313-11168,19639597,5.51563066276898,18556349.3658237
IRIS_313-11171,43082699,8.66353292542637,39350215.1869727
IRIS_313-11175,43708013,7.99255365226081,40214626.6106379
IRIS_313-11191,131289235,14.0608169300224,112828896.017823
IRIS_313-11218,65795182,9.91535815294451,59271354.0573183
IRIS_313-11257,151732607,17.4015206618271,125328826.042166
IRIS_313-11258,138158594,17.1980642263161,114397990.269705
IRIS_313-11259,21618934,10.3628918685402,19378587.2464489
IRIS_313-11268,54087631,13.190688352984,46953100.157278
IRIS_313-11272,62193837,9.97842306212995,55987872.8255685
IRIS_313-11293,42595168,9.98417170140952,38342393.2903762
IRIS_313-11350,73976789,11.5392139246032,65440449.0627377
IRIS_313-11352,49983650,11.5827787217738,44194154.4234341
IRIS_313-11356,63363197,11.0871178380011,56338044.6826852
IRIS_313-11362,52490687,10.2582039424719,47106085.2767354
IRIS_313-11364,48500573,11.5439011056612,42901714.817201
IRIS_313-11380,40765674,10.2759248193037,36576623.9876776
IRIS_313-11401,45341954,10.3918912896174,40630067.4317317
IRIS_313-11413,65044216,7.18412186241629,60371360.2581067
IRIS_313-11417,39231826,8.66888915084624,35830862.4922071
IRIS_313-11425,38552323,8.19279744298139,35393809.2670461
IRIS_313-11483,81486477,9.14039500336918,74038291.1278704
IRIS_313-11530,89555149,10.4450408637481,80201077.0913595
IRIS_313-11544,59465556,9.50720323922327,53812044.7337459
IRIS_313-11619,58322962,8.63847331064648,53284748.4936515
IRIS_313-11625,68784687,10.5734006914336,61511806.4291416
IRIS_313-11626,79811769,11.2704106561039,70816654.881799
IRIS_313-11630,75005165,11.0964081868344,66682285.7303914
IRIS_313-11647,81193371,12.4207070583726,71108580.2372724
IRIS_313-11672,44629742,9.27052416762656,40492330.9819406
IRIS_313-11679,72318183,8.46747025411325,66194662.3661598
IRIS_313-11693,96498977,10.070005618032,86781524.5947566
IRIS_313-11825,168597900,17.1161744669675,139740389.288357
IRIS_313-11897,70203817,12.4580335445726,61457801.9285696
IRIS_313-11923,50798282,9.79172938869016,45824251.6924563
IRIS_313-11956,33602982,8.0433436665769,30900178.675522
IRIS_313-11958,61962709,9.98182187001552,55777701.7617839
IRIS_313-11982,50811517,6.9954801302287,47257007.4243972
IRIS_313-12002,54006303,8.20967703885719,49572559.9430734
IRIS_313-12004,50601467,8.20974803798485,46447214.0557759
IRIS_313-12010,86848773,9.82164730551791,78318792.8267701
IRIS_313-12012,45061600,7.84882851836535,41524792.2883683
IRIS_313-12030,57028915,8.41509180419652,52229879.4478128
IRIS_313-12053,43231778,8.65900959079863,39488334.1967072
IRIS_313-12055,60504365,8.12956317975102,55585624.4208178
IRIS_313-12070,66110866,10.3438241995972,59272474.2441287
IRIS_313-12074,60198021,9.37696068863065,54553276.2354964
IRIS_313-12094,95192856,13.2209072418228,82607496.8073981
IRIS_313-12108,77292054,11.4449446166971,68446021.2265924
IRIS_313-12282,36935136,8.62504387095815,33749464.3162019
IRIS_313-12289,70767429,13.1084804989693,61490894.3699131
IRIS_313-12347,34338540,10.9331845481377,30584244.0506639
IRIS_313-12353,65165376,11.4244526745023,57720588.4587185
IRIS_313-15896,33411100,6.54581651151101,31224070.6995225
IRIS_313-15905,34627335,6.59558491931766,32343459.7147784
IRIS_313-15906,40306326,8.7458424537374,36781198.2291502
IRIS_313-7690,51991575,8.72264192494157,47456536.0816126
IRIS_313-7809,61038772,8.73656823745276,55706078.0329168
IRIS_313-8003,65756811,9.64250129199343,59416209.6497513
IRIS_313-8025,68074559,9.85523022078203,61365654.4887679
IRIS_313-8031,40908430,9.84748223512821,36879979.6230801
IRIS_313-8066,71235231,9.4091939362981,64532569.9642401
IRIS_313-8170,67464381,8.9248178158323,61443307.905171
IRIS_313-8195,58133824,8.72459306162892,53061884.4248364
IRIS_313-8283,34975417,9.18035314578151,31764550.2051903
IRIS_313-8326,197889096,19.4369362383301,159425518.587872
IRIS_313-8399,37845497,11.114097845117,33639311.4334492
IRIS_313-8656,53790356,12.4259691205893,47106382.9735849
IRIS_313-8665,73334664,11.6104361582443,64820189.654417
IRIS_313-8712,50359672,9.61430460671441,45517939.7349777
IRIS_313-8721,65798844,7.87468689708264,60617391.0531002
IRIS_313-8747,67241720,8.97074825757349,61209634.5747376
IRIS_313-8765,40361056,10.662591166775,36057521.6081269
IRIS_313-8768,85615158,11.1629437876916,76057986.0387167
IRIS_313-8813,65834610,9.19451577202793,59781436.4000969
IRIS_313-8814,41107609,8.82264325250077,37480831.3082971
IRIS_313-9053,29091084,11.4638228301563,25756133.6708681
IRIS_313-9083,40593749,10.3005114614123,36412385.2316381
IRIS_313-9139,45789846,7.84142483387753,42199269.6443617
IRIS_313-9140,40042029,10.1488030911706,35978242.3230806
IRIS_313-9170,62670463,11.7975557019798,55276880.2188864
IRIS_313-9294,152031000,15.1469296931401,129002971.318222
IRIS_313-9348,60250381,8.07681798339773,55384067.3923264
IRIS_313-9368,44920972,7.82508773600412,41405866.5291342
IRIS_313-9392,46163805,10.1228186878298,41490726.7204467
IRIS_313-9422,79877508,8.20954185716272,73319930.5462815
IRIS_313-9449,80703317,8.85047399806862,73560690.9133361
IRIS_313-9522,46858379,8.39396866794662,42925101.3484323
IRIS_313-9572,56043548,7.99923918491335,51560490.5477683
IRIS_313-9616,49448062,12.3488476903189,43341796.1378055
IRIS_313-9641,28374727,9.18575298488577,25768294.6676443
IRIS_313-9648,49837154,10.7235942072727,44492819.8405864
IRIS_313-9682,68414238,12.4744064033696,59879967.9141115
IRIS_313-9759,41787744,11.9196060764603,36806809.5269603
IRIS_313-9789,42287671,8.84210589818875,38548550.3483023
IRIS_313-9886,52370392,9.66182726386853,47310455.1875492
IRIS_313-9926,57523719,9.9983620240982,51772289.324655
